row,true_label,predicted_cluster,distance_to_centroid,is_ground_truth_noise
1,0,2,0.6093284528,0
2,1,1,1.673733579,0
3,0,2,1.171092938,0
4,-1,0,1.997122763,1
5,-1,0,1.857308063,1
6,0,2,1.036029892,0
7,1,1,1.18496302,0
8,1,1,1.098882889,0
9,0,2,1.633009287,0
10,0,2,0.9673051506,0
11,0,2,1.075317046,0
12,0,2,0.9127355351,0
13,0,2,1.088694542,0
14,0,2,1.642648786,0
15,0,2,1.744640486,0
16,0,2,0.9636577781,0
17,-1,0,1.721902069,1
18,0,2,1.427766743,0
19,0,2,1.059649588,0
20,0,2,0.9846628466,0
21,0,2,1.020365448,0
22,0,2,1.489115951,0
23,0,2,1.074205216,0
24,0,2,1.115189886,0
25,0,2,1.023446856,0
26,-2,0,3.508881807,1
27,0,2,1.019493922,0
28,0,2,1.003030936,0
29,0,2,1.274624604,0
30,0,2,1.704126248,0
31,1,1,0.8089811934,0
32,0,2,0.9925636837,0
33,0,2,0.9309511279,0
34,0,2,1.616621731,0
35,-1,0,1.866380935,1
36,-1,1,1.829575084,1
37,0,2,0.9189772936,0
38,0,2,0.7138758888,0
39,0,2,1.184373673,0
40,-1,0,2.234218938,1
41,0,2,0.9037675011,0
42,1,1,0.6082393823,0
43,-1,0,2.167221252,1
44,0,2,1.117018611,0
45,-2,0,2.387839088,1
46,-1,0,1.578863532,1
47,0,2,0.9702314967,0
48,1,1,0.9741173953,0
49,0,2,1.614560623,0
50,0,2,1.714584223,0
51,0,2,1.042239695,0
52,1,1,0.6190439804,0
53,1,1,0.6054992105,0
54,0,2,1.082720557,0
55,-1,0,2.664296556,1
56,0,2,1.130501098,0
57,0,2,1.701173151,0
58,1,1,1.036460717,0
59,0,2,0.9821808922,0
60,-1,1,1.991551106,1
61,0,2,1.313925671,0
62,0,2,0.6105995257,0
63,0,2,1.841680641,0
64,0,2,0.6218929457,0
65,0,2,0.3628671743,0
66,-1,1,0.7625918945,1
67,0,2,0.8691239906,0
68,0,2,1.686268857,0
69,-1,0,2.749444429,1
