row,true_label,predicted_cluster,distance_to_centroid,is_ground_truth_noise
70,0,2,1.78848984,0
71,0,2,0.7704553209,0
72,0,2,1.760766469,0
73,0,2,1.17360404,0
74,1,1,1.862580301,0
75,-1,0,1.666813048,1
76,0,2,1.030695646,0
77,0,2,1.097010371,0
78,1,1,1.008470616,0
79,1,1,1.536124008,0
80,0,2,1.643781823,0
81,0,2,0.9532830471,0
82,0,2,0.7525674501,0
83,0,2,0.4932485324,0
84,0,2,1.063797245,0
85,1,1,1.244120691,0
86,0,2,1.301795681,0
87,0,2,1.248380442,0
88,0,2,1.115334368,0
89,-1,0,3.205292284,1
90,1,1,1.396209364,0
91,0,2,2.193872424,0
92,0,2,1.084935541,0
93,0,2,1.638523217,0
94,0,2,1.079397077,0
95,0,2,0.9663442287,0
96,1,1,1.655554449,0
97,0,2,1.141438946,0
98,0,2,1.939742684,0
99,-1,0,1.755817692,1
100,0,2,1.007306227,0
101,1,1,1.628660613,0
102,0,2,1.149911459,0
103,0,2,1.636264343,0
104,0,2,0.9465390837,0
105,1,1,1.379804871,0
106,0,2,0.9883290997,0
107,1,1,1.050342438,0
108,-2,0,2.401326676,1
109,1,1,1.212098219,0
110,0,2,1.190437552,0
111,-1,0,2.741441207,1
112,0,2,1.288128619,0
113,0,2,1.533708472,0
114,1,1,0.911940186,0
115,1,1,1.020226698,0
116,0,2,1.816402498,0
117,0,2,0.9616017478,0
118,0,2,0.7252377083,0
119,0,2,1.6458294,0
120,0,2,1.624799224,0
121,0,2,1.714925318,0
122,-1,0,1.058485963,1
123,0,2,1.291465127,0
124,0,2,1.779998775,0
125,1,1,0.7493400226,0
126,0,2,1.39670573,0
127,0,2,0.4875007523,0
128,1,1,1.619396803,0
129,1,1,0.9023688638,0
130,0,2,0.8613130786,0
131,0,2,1.687153724,0
132,0,2,1.162891428,0
133,0,2,0.9696510797,0
134,0,2,0.9754011552,0
135,0,2,1.68487333,0
136,-1,0,2.741523193,1
137,1,1,2.142773881,0
138,0,2,1.736403608,0
139,1,1,0.6768607962,0
140,0,2,1.755519074,0
141,0,2,0.941748145,0
142,1,1,1.041692586,0
143,0,2,1.372181956,0
144,0,2,1.146415304,0
145,0,2,1.750364569,0
146,0,2,1.009393269,0
147,0,2,1.049627422,0
148,0,2,0.9609439294,0
149,0,2,1.17195203,0
150,1,1,0.9724898579,0
151,0,2,0.9770842114,0
152,0,2,0.9376999289,0
153,1,1,1.608057319,0
154,-2,0,2.119769169,1
155,0,2,1.40751933,0
156,0,2,0.702891358,0
157,0,2,1.02013,0
158,1,1,0.5312892363,0
159,-1,1,2.144341558,1
160,0,2,0.9697498676,0
161,1,1,0.9730662202,0
162,0,2,0.6331282786,0
163,0,2,1.106359954,0
164,1,1,1.031680035,0
165,0,2,1.030002764,0
166,-1,0,2.274087184,1
167,-1,1,2.28321421,1
168,0,2,1.639771184,0
169,-2,2,1.949916179,1
170,1,1,0.9703592627,0
171,0,2,0.7053880436,0
172,0,2,1.058247544,0
173,0,2,1.657064376,0
174,1,1,1.723794359,0
175,0,2,1.22865651,0
176,0,2,1.60673324,0
177,1,1,1.238511117,0
178,0,2,1.174415786,0
179,0,2,1.157060605,0
180,0,2,1.947795988,0
181,0,2,0.9762621683,0
182,0,2,1.165173053,0
183,-1,0,3.236374828,1
184,0,2,1.029304127,0
185,0,2,1.670384043,0
186,0,2,0.7551051034,0
187,0,2,1.811587714,0
188,0,2,1.716458646,0
189,0,2,1.086304837,0
190,0,2,0.7528837796,0
191,1,1,0.752480597,0
192,1,1,0.9217346779,0
193,1,1,0.6077521999,0
194,-1,0,2.285032116,1
195,0,2,1.143064395,0
196,0,2,0.6983439705,0
197,-1,0,2.953517963,1
198,1,1,0.4465633485,0
199,0,2,1.048654658,0
200,0,2,0.9213824825,0
201,0,2,1.027655764,0
202,-2,0,2.419703524,1
203,1,1,1.27071452,0
204,0,2,1.25074719,0
205,1,1,0.7539427891,0
206,0,2,0.5936949843,0
207,1,1,0.4693103374,0
208,0,2,0.9152055182,0
209,0,2,1.717838997,0
210,0,2,1.246091077,0
211,1,1,2.002755016,0
212,0,2,1.647689893,0
213,1,1,1.395472148,0
214,1,1,0.9148774826,0
215,0,2,1.07187708,0
216,-2,0,3.160511477,1
217,-2,0,2.068995933,1
218,0,2,1.292275627,0
219,0,2,1.142735209,0
220,0,2,1.641848525,0
221,0,2,1.080830521,0
222,-1,0,1.398003456,1
223,0,2,1.329162177,0
224,0,2,1.183834793,0
225,0,2,1.210098256,0
226,0,2,1.554576672,0
227,-1,0,1.918683306,1
228,0,2,1.185845707,0
229,-1,0,1.700438262,1
230,0,2,1.036843423,0
231,0,2,1.116411148,0
232,0,2,0.9085196078,0
233,1,1,1.680084246,0
234,0,2,1.748352942,0
235,-1,2,1.379682837,1
236,0,2,1.147681332,0
237,0,2,0.9921207833,0
238,0,2,1.121663774,0
239,0,2,1.025051993,0
240,-1,0,2.838967048,1
241,1,1,0.9310464009,0
242,-2,1,2.382416268,1
243,0,2,0.6190250925,0
244,0,2,0.91539355,0
245,0,2,1.774742967,0
246,0,2,1.060927529,0
247,1,1,1.669892606,0
248,0,2,1.246613555,0
249,1,1,0.9272790273,0
250,0,2,0.9834362707,0
251,-1,0,1.506573616,1
252,1,1,1.218131185,0
253,-1,0,2.157383246,1
254,0,2,1.016273853,0
255,0,2,0.7181945403,0
256,0,2,0.9315198891,0
257,0,2,1.770665322,0
258,0,2,1.132072208,0
259,1,1,1.26920905,0
260,0,2,0.9676786361,0
261,-1,0,2.872357891,1
262,0,2,1.611081208,0
263,0,2,1.736545765,0
264,1,1,1.650892196,0
265,0,2,1.920232657,0
266,0,2,0.9520684384,0
267,0,2,0.9990818457,0
268,1,1,1.664087638,0
269,0,2,0.6597776453,0
270,0,2,1.104722928,0
271,0,2,0.9288435444,0
272,0,2,0.9178060919,0
273,0,2,0.7530664623,0
274,0,2,1.631126834,0
275,-1,0,1.991553061,1
276,0,2,1.198985174,0
277,0,2,1.724511695,0
278,0,2,1.156371493,0
279,-1,0,2.180196346,1
280,0,2,1.020277544,0
281,0,2,0.6390934597,0
282,1,1,1.092237533,0
283,0,2,1.622441087,0
284,1,1,1.163912772,0
285,0,2,0.533218498,0
286,-2,0,2.276379582,1
287,0,2,0.9626341014,0
288,-1,2,2.048059667,1
289,0,2,1.618069047,0
290,0,2,0.9847205783,0
291,1,1,1.154819641,0
292,1,1,0.6252653948,0
293,1,1,1.122880771,0
294,0,2,1.687946008,0
295,0,2,0.4355831984,0
296,0,2,1.630220455,0
297,0,2,0.5873918476,0
298,0,2,1.182621325,0
299,0,2,1.837656267,0
300,0,2,0.9216870682,0
301,0,2,1.699028584,0
302,0,2,1.126264991,0
303,0,2,1.019886734,0
304,-2,0,1.6962659,1
305,1,1,1.236817729,0
306,1,1,1.972414625,0
307,1,1,1.333801355,0
308,0,2,1.616292872,0
309,1,1,1.430189842,0
310,0,2,1.015400086,0
311,1,1,1.160879642,0
312,0,2,1.788250993,0
313,0,2,1.738378789,0
314,0,2,1.17429637,0
315,0,2,0.8082094105,0
316,1,1,1.748531532,0
317,0,2,0.672266289,0
318,0,2,1.000884652,0
319,0,2,0.9667080567,0
320,0,2,0.5745762026,0
321,1,1,0.9292530721,0
322,0,2,1.573707616,0
323,-2,0,2.761719189,1
324,0,2,1.658767726,0
325,0,2,0.9513009441,0
326,1,1,1.167534669,0
327,1,1,1.15400504,0
328,1,1,0.8899099167,0
329,0,2,0.976503572,0
330,0,2,1.481397943,0
331,-2,0,1.641492067,1
332,0,2,1.142554908,0
333,0,2,0.9773278845,0
334,0,2,1.022792242,0
335,1,1,1.620983771,0
336,0,2,1.642530756,0
337,1,1,0.6135968933,0
338,0,2,0.9702089596,0
339,1,1,0.1126608067,0
340,0,2,0.9513225277,0
341,0,2,1.633729193,0
342,0,2,0.7283212364,0
343,1,1,1.289372107,0
344,0,2,1.158854046,0
345,0,2,1.063339577,0
346,0,2,0.9225189841,0
347,0,2,0.5805487961,0
348,1,1,1.597385022,0
349,0,2,1.0177557,0
350,0,2,1.14536275,0
351,0,2,1.457078773,0
352,-1,0,1.921503034,1
353,-2,0,2.406175738,1
354,0,2,1.252044903,0
355,-1,0,2.986475921,1
356,0,2,0.4115800534,0
357,0,2,1.11340215,0
358,1,1,0.3352539705,0
359,0,2,0.3267277525,0
360,0,2,0.95762264,0
361,0,2,1.814037006,0
362,0,2,1.016980818,0
363,0,2,1.023573071,0
364,0,2,1.231681386,0
365,0,2,1.13419477,0
366,0,2,1.239956244,0
367,1,1,1.017267284,0
368,0,2,0.9651113779,0
369,0,2,0.9829715712,0
370,0,2,1.648415408,0
371,0,2,1.81480461,0
372,0,2,1.007161583,0
373,0,2,1.044061925,0
374,1,1,0.9065254014,0
375,1,1,1.003834827,0
376,0,2,0.9154169228,0
377,-1,0,2.65648048,1
378,0,2,1.21173998,0
379,0,2,0.9973694761,0
380,0,2,0.9608199425,0
381,1,1,0.9612021577,0
382,0,2,1.769206872,0
383,-1,1,2.058258029,1
384,1,1,1.051937281,0
385,1,1,1.16895213,0
386,0,2,0.5224948159,0
387,0,2,1.57150574,0
388,0,2,1.729549783,0
389,0,2,0.8981184256,0
390,0,2,0.7209390556,0
391,0,2,1.655906202,0
392,0,2,1.365828735,0
393,1,1,1.827988465,0
394,0,2,0.6046443609,0
395,0,2,0.9393386495,0
396,0,2,1.037937443,0
397,-1,0,2.637037052,1
398,-1,0,3.419167491,1
399,0,2,0.4779641913,0
400,-1,0,3.708569773,1
401,-1,0,2.843356224,1
402,0,2,0.6782980905,0
403,0,2,0.6121606206,0
404,1,1,0.9250701887,0
405,0,2,1.404836592,0
406,0,2,0.9731988003,0
407,1,1,1.121246744,0
408,1,1,1.976293117,0
409,0,2,1.149537734,0
410,0,2,1.764940488,0
411,1,1,1.10140487,0
412,0,2,1.623362249,0
413,0,2,0.9928573685,0
414,0,2,1.258293146,0
415,1,1,0.9164865167,0
416,0,2,1.284793678,0
417,-1,0,1.768327817,1
418,0,2,1.701828661,0
419,0,2,0.3518245326,0
420,0,2,1.663287534,0
421,0,2,0.907406236,0
422,0,2,1.248589538,0
423,0,2,1.16173783,0
424,0,2,1.187987423,0
425,0,2,1.68429978,0
426,0,2,1.728595621,0
427,0,2,1.107869798,0
428,0,2,0.7535229595,0
429,-2,0,1.299041046,1
430,1,1,0.6965517226,0
431,1,1,1.741698812,0
432,0,2,0.8482888316,0
433,-1,0,2.550186049,1
434,0,2,1.132445156,0
435,0,2,1.043995789,0
436,0,2,0.3308918089,0
437,1,1,0.8872110013,0
438,1,1,1.164020991,0
439,0,2,0.9578613897,0
440,0,2,0.9683371839,0
441,1,1,1.83402412,0
442,0,2,1.030523005,0
443,0,2,1.173160338,0
444,0,2,1.128214402,0
445,1,1,0.9629034645,0
446,0,2,1.159793218,0
447,0,2,1.440425647,0
448,0,2,1.397492456,0
449,0,2,0.9510627314,0
450,0,2,0.8510223549,0
451,0,2,1.641405203,0
452,-1,1,2.24445831,1
453,0,2,1.026558786,0
454,0,2,0.6014080289,0
455,1,1,1.379208457,0
456,0,2,1.613601579,0
457,1,1,1.366136003,0
458,0,2,1.01543316,0
459,-1,0,2.50135467,1
460,0,2,0.9785045363,0
461,0,2,1.54689518,0
462,0,2,0.8136060528,0
463,-1,0,1.395373274,1
464,1,1,1.202889383,0
465,0,2,1.062250457,0
466,1,1,1.618453119,0
467,0,2,0.9806358162,0
468,0,2,0.6485178945,0
469,0,2,0.927293324,0
470,1,1,1.163032098,0
471,0,2,0.9845589235,0
472,0,2,1.227554742,0
473,0,2,1.066199291,0
474,0,2,0.9799035048,0
475,0,2,1.325384865,0
476,0,2,0.6426124116,0
477,0,2,0.3936309626,0
478,1,1,0.9785640466,0
479,0,2,0.9246924757,0
480,0,2,0.9192685004,0
481,1,1,1.445767267,0
482,-1,0,2.070059753,1
483,0,2,0.9758495088,0
484,0,2,0.9722054799,0
485,0,2,1.019200532,0
486,0,2,1.620433854,0
487,0,2,0.9314325586,0
488,0,2,1.052411273,0
489,1,1,1.317850355,0
490,1,1,0.9483360281,0
491,1,1,1.244298347,0
492,0,2,1.246633307,0
493,0,2,1.220211923,0
494,0,2,1.520999925,0
495,0,2,1.104052837,0
496,-1,0,2.073619683,1
497,0,2,1.514854737,0
498,0,2,0.9264242469,0
499,0,2,1.705522403,0
500,0,2,1.305889529,0
501,-1,0,2.341751122,1
502,-1,0,1.949738415,1
503,-1,0,0.610872425,1
504,1,1,1.943698223,0
505,0,2,1.324922268,0
506,1,1,1.421621092,0
507,1,1,1.094220046,0
508,0,2,1.566965203,0
509,0,2,1.133961845,0
510,0,2,0.746816928,0
511,0,2,1.778828312,0
512,0,2,1.243728749,0
513,0,2,1.130618865,0
514,1,1,1.397634423,0
515,0,2,0.9255594467,0
516,0,2,0.7964787383,0
517,0,2,0.9693547473,0
518,-1,0,1.83540816,1
519,0,2,1.541727801,0
520,0,2,1.028053626,0
521,0,2,0.6465299519,0
522,0,2,1.189335697,0
523,0,2,1.427512626,0
524,1,1,1.137094869,0
525,0,2,0.9415028792,0
526,0,2,1.13990407,0
527,0,2,0.9095224157,0
528,1,1,0.9725144248,0
529,0,2,1.762739825,0
530,-1,0,2.700940031,1
531,0,2,1.44912276,0
532,0,2,1.215764547,0
533,0,2,1.033269673,0
534,0,2,1.274045542,0
535,0,2,1.427324013,0
536,1,1,2.103882689,0
537,0,2,0.9725100582,0
538,0,2,0.4700355504,0
539,0,2,0.9638765015,0
540,0,2,1.637186669,0
541,0,2,0.786954936,0
542,1,1,1.057210124,0
543,0,2,1.619407789,0
544,-1,0,1.916837198,1
545,0,2,0.5008482269,0
546,0,2,1.164357445,0
547,-2,0,1.171089611,1
548,1,1,1.377164332,0
549,1,1,0.9776311288,0
550,0,2,1.120906253,0
551,1,1,1.770291397,0
552,-1,0,3.430363874,1
553,-1,0,2.845764269,1
554,0,2,1.160134225,0
555,-1,2,2.298968455,1
556,1,1,1.621305216,0
557,0,2,1.007376208,0
558,0,2,1.044373971,0
559,-2,0,1.738622891,1
560,-2,0,2.204101722,1
561,0,2,0.4342083895,0
562,0,2,1.052342305,0
563,0,2,0.3525302299,0
564,1,1,1.013492048,0
565,0,2,1.622653756,0
566,0,2,1.659529944,0
567,1,1,0.550806176,0
568,0,2,0.6646668412,0
569,-2,0,3.006242368,1
570,0,2,1.640845328,0
571,0,2,0.8138681188,0
572,1,1,1.895204161,0
573,1,1,0.7876455318,0
574,0,2,1.061610885,0
575,-1,2,2.807848127,1
576,0,2,1.057945615,0
577,-1,0,1.604485779,1
578,0,2,1.797013335,0
579,1,1,1.685169779,0
580,0,2,1.115069836,0
581,0,2,1.044414812,0
582,1,1,1.617211606,0
583,0,2,0.9785744287,0
584,0,2,1.473395759,0
585,0,2,0.8928746789,0
586,0,2,1.712398108,0
587,0,2,1.20635537,0
588,0,2,1.230125076,0
589,1,1,1.357927567,0
590,0,2,1.771679932,0
591,0,2,0.5365434727,0
592,0,2,1.368067153,0
593,0,2,1.823862789,0
594,0,2,1.095907674,0
595,1,1,1.744762507,0
596,0,2,1.007098053,0
597,0,2,0.9378406308,0
598,0,2,1.481188012,0
599,0,2,1.625476297,0
600,1,1,1.242466388,0
601,0,2,1.232310248,0
602,0,2,1.44384535,0
603,0,2,1.11151916,0
604,0,2,1.625578131,0
605,0,2,0.9264818036,0
606,0,2,1.164815124,0
607,1,1,1.004024754,0
608,0,2,0.9710315963,0
609,0,2,0.89850238,0
610,1,1,0.5810714853,0
611,0,2,1.829647438,0
612,0,2,0.7765045048,0
613,1,1,0.912271102,0
614,0,2,0.8826413722,0
615,1,1,0.9361295711,0
616,0,2,1.603513527,0
617,1,1,0.6535343586,0
618,0,2,0.5621386573,0
619,0,2,1.812663897,0
620,0,2,0.5368978914,0
621,1,1,1.199839004,0
622,0,2,0.9715957476,0
623,0,2,1.658794084,0
624,0,2,1.35768413,0
625,0,2,1.167284284,0
626,0,2,0.9554924914,0
627,1,1,1.687909523,0
628,0,2,0.3189511014,0
629,0,2,1.635593054,0
630,1,1,0.4080955557,0
631,0,2,1.024200339,0
632,-1,2,1.550025052,1
633,0,2,1.773328873,0
634,0,2,1.053435046,0
635,-1,2,2.087893527,1
636,-1,0,2.178786533,1
637,0,2,1.858064829,0
638,0,2,0.9694746491,0
639,1,1,0.9566526716,0
640,1,1,1.179799638,0
641,0,2,1.018936411,0
642,0,2,0.9080820971,0
643,1,1,0.9843471059,0
644,1,1,0.2378390147,0
645,0,2,0.7351125034,0
646,-1,0,2.06205334,1
647,1,1,1.107005888,0
648,-1,0,2.552892816,1
649,1,1,1.780794247,0
650,-2,0,3.03426762,1
651,1,1,1.448284006,0
652,0,2,0.6190575485,0
653,0,2,1.089732992,0
654,1,1,0.9133338954,0
655,0,2,1.199635089,0
656,0,2,1.171709859,0
657,0,2,0.9976614617,0
658,0,2,1.143889536,0
659,0,2,0.9664249414,0
660,0,2,1.662529035,0
661,0,2,1.010008945,0
662,0,2,1.658103858,0
663,0,2,1.643128158,0
664,0,2,1.632158391,0
665,0,2,1.083082832,0
666,0,2,1.166498037,0
667,1,1,0.6986931587,0
668,-2,0,1.891002494,1
669,0,2,1.67988926,0
670,0,2,1.622100268,0
671,1,1,1.146100618,0
672,0,2,1.101201066,0
673,0,2,0.9782092156,0
674,-1,1,2.539021299,1
675,0,2,0.8864337383,0
676,-1,0,1.658700342,1
677,0,2,0.6142689887,0
678,0,2,1.723633754,0
679,1,1,1.6308272,0
680,0,2,1.032583637,0
681,0,2,1.177643965,0
682,0,2,0.9218574665,0
683,0,2,1.774043408,0
684,0,2,1.051548528,0
685,0,2,1.787075756,0
686,0,2,1.632465613,0
687,0,2,1.029445265,0
688,0,2,0.4727513437,0
689,-1,0,2.220397096,1
690,0,2,1.399045218,0
691,0,2,0.8938814898,0
692,0,2,1.109211527,0
693,0,2,1.668811345,0
694,0,2,1.029265337,0
695,0,2,1.090744475,0
696,0,2,1.68537665,0
697,0,2,0.438722596,0
698,0,2,0.4534766023,0
699,0,2,1.180137597,0
700,0,2,0.9715075034,0
701,0,2,1.524185195,0
702,0,2,1.131266649,0
703,0,2,0.6543263206,0
704,0,2,1.149725969,0
705,0,2,1.204427173,0
706,0,2,1.664578609,0
707,0,2,1.549185239,0
708,0,2,1.117470553,0
709,1,1,1.639950954,0
710,0,2,1.527720609,0
711,-1,0,1.479585779,1
712,0,2,1.006816293,0
713,0,2,1.021645239,0
714,1,1,0.9131277457,0
715,0,2,1.685543685,0
716,1,1,1.173607337,0
717,1,1,1.308084831,0
718,0,2,1.243799548,0
719,-1,0,2.151042456,1
720,1,1,1.961567314,0
721,0,2,1.007886477,0
722,0,2,1.711512642,0
723,0,2,0.91210499,0
724,-1,0,1.447446419,1
725,1,1,1.432729105,0
726,0,2,1.075034609,0
727,1,1,0.9153902191,0
728,1,1,1.315085146,0
729,-2,0,2.812219254,1
730,1,1,0.5708877697,0
731,0,2,1.007101946,0
732,0,2,0.5444529029,0
733,0,2,0.9787860264,0
734,0,2,1.125218244,0
735,0,2,1.796016521,0
736,0,2,1.251534694,0
737,0,2,1.016075827,0
738,0,2,1.164193475,0
739,1,1,0.8504905981,0
740,1,1,1.090257686,0
741,-2,0,1.706009023,1
742,0,2,1.035182211,0
743,0,2,0.5435151572,0
744,1,1,1.62010208,0
745,-1,0,2.976649943,1
746,1,1,1.045423793,0
747,0,2,1.14061047,0
748,0,2,1.243775135,0
749,1,1,1.62785429,0
750,0,2,1.134208513,0
751,1,1,1.042184713,0
752,0,2,1.636742581,0
753,0,2,1.188704467,0
754,1,1,0.931982271,0
755,0,2,1.716077042,0
756,0,2,0.8535828501,0
757,0,2,0.9691299943,0
758,0,2,0.7156587827,0
759,0,2,1.128353902,0
760,-2,0,2.219181124,1
761,0,2,1.773877701,0
762,0,2,1.178164061,0
763,1,1,1.765197498,0
764,0,2,1.115517625,0
765,1,1,1.228754162,0
766,1,1,1.40298831,0
767,1,1,1.281780635,0
768,1,1,1.652492319,0
769,0,2,1.03148384,0
770,0,2,1.793590688,0
771,0,2,0.6888720886,0
772,0,2,1.690252515,0
773,0,2,1.00251307,0
774,1,1,1.857652525,0
775,0,2,1.069982829,0
776,-2,0,2.024596608,1
777,0,2,1.131998391,0
778,0,2,1.702755022,0
779,0,2,2.306571288,0
780,0,2,1.782397224,0
781,1,1,1.715956675,0
782,0,2,1.15082669,0
783,0,2,1.135272952,0
784,0,2,1.060564181,0
785,1,1,1.141083571,0
786,0,2,0.9414615709,0
787,0,2,0.9137391485,0
788,0,2,1.16571765,0
789,0,2,1.720697102,0
790,0,2,1.053803899,0
791,0,2,1.142050119,0
792,0,2,1.894172942,0
793,0,2,0.9885027751,0
794,0,2,1.210956079,0
795,0,2,1.004238185,0
796,0,2,1.777139654,0
797,0,2,0.9296635528,0
798,0,2,0.9389901574,0
799,0,2,1.778329781,0
800,0,2,0.6573602148,0
801,0,2,0.9890920994,0
802,1,1,0.9679694924,0
803,0,2,1.813470461,0
804,-1,1,1.538122047,1
805,-2,0,1.723327124,1
806,-1,0,2.387048895,1
807,0,2,0.9830928375,0
808,0,2,0.5953819028,0
809,0,2,1.18385887,0
810,1,1,0.5996994277,0
811,0,2,0.6315883877,0
812,-1,0,1.5834459,1
813,0,2,1.393792482,0
814,0,2,1.03286847,0
815,1,1,0.8640949765,0
816,0,2,1.716355486,0
817,1,1,0.4082484831,0
818,0,2,1.747113569,0
819,0,2,1.281343668,0
820,0,2,1.184133907,0
821,-1,0,2.25514029,1
822,0,2,1.235214885,0
823,0,2,1.514400794,0
824,0,2,1.644971053,0
825,0,2,1.285227895,0
826,1,1,0.4979220378,0
827,0,2,1.170058618,0
828,1,1,0.4187747911,0
829,0,2,0.9897035868,0
830,-1,0,2.06912829,1
831,0,2,1.154181843,0
832,1,1,1.135747155,0
833,0,2,1.529326949,0
834,1,1,0.8105156872,0
835,-2,0,1.892575541,1
836,0,2,0.9992208548,0
837,1,1,1.750159923,0
838,1,1,0.6330588733,0
839,1,1,1.17216253,0
840,0,2,1.135890388,0
841,0,2,1.632234372,0
842,-2,2,2.239778373,1
843,1,1,0.9762742815,0
844,1,1,1.132117344,0
845,1,1,1.70862565,0
846,0,2,0.6009974354,0
847,-2,0,2.75730024,1
848,0,2,1.635799996,0
849,0,2,0.8183015925,0
850,0,2,0.9352132718,0
851,0,2,0.9459947419,0
852,0,2,0.5901028639,0
853,0,2,0.9576401954,0
854,0,2,1.16380929,0
855,0,2,1.585999447,0
856,0,2,0.8877944799,0
857,0,2,0.9561189596,0
858,0,2,0.5462020831,0
859,-1,0,2.246135963,1
860,0,2,0.9922580973,0
861,0,2,1.072292243,0
862,0,2,0.5576996906,0
863,1,1,0.2995357168,0
864,0,2,1.627208726,0
865,0,2,1.660500937,0
866,0,2,1.918277582,0
867,0,2,0.4030360194,0
868,1,1,0.9457519169,0
869,0,2,1.030903385,0
870,0,2,1.013734709,0
871,0,2,1.159795719,0
872,1,1,1.640630217,0
873,-1,1,1.694859705,1
874,-1,0,2.893537791,1
875,1,1,0.8835351494,0
876,-1,0,2.187378464,1
877,0,2,1.65524043,0
878,1,1,1.320280569,0
879,0,2,1.004344563,0
880,0,2,1.043297728,0
881,1,1,0.5016588069,0
882,0,2,0.7975674128,0
883,0,2,0.972993872,0
884,0,2,0.9218644962,0
885,1,1,0.9837456326,0
886,0,2,1.041550787,0
887,0,2,1.995007617,0
888,0,2,1.297747999,0
889,0,2,0.9035358647,0
890,1,1,0.9418765909,0
891,1,1,0.929879008,0
892,1,1,1.92038977,0
893,0,2,1.104871526,0
894,1,1,1.343100136,0
895,0,2,1.133587591,0
896,0,2,0.9886435347,0
897,1,1,1.019186286,0
898,1,1,0.9109968552,0
899,0,2,1.754263507,0
900,0,2,0.9407570862,0
901,0,2,0.6160487054,0
902,1,1,1.77665328,0
903,0,2,1.069255331,0
904,1,1,0.9879060158,0
905,-1,0,3.234402518,1
906,0,2,0.7438264884,0
907,0,2,1.034602814,0
908,1,1,1.741183603,0
909,0,2,0.9613450558,0
910,0,2,1.071504701,0
911,0,2,1.23920121,0
912,0,2,0.538903945,0
913,0,2,1.005431574,0
914,0,2,1.197442536,0
915,-1,0,2.371531676,1
916,-1,0,3.617813272,1
917,0,2,0.9810867424,0
918,0,2,1.22416619,0
919,0,2,1.100223727,0
920,0,2,1.689422097,0
921,0,2,1.697501478,0
922,0,2,1.01109973,0
923,1,1,1.772433581,0
924,0,2,1.791522454,0
925,0,2,1.376542618,0
926,0,2,1.62852049,0
927,0,2,1.664407946,0
928,-2,0,3.165582467,1
929,0,2,0.9916315491,0
930,0,2,0.9507821365,0
931,0,2,0.5655397898,0
932,-1,0,2.052337669,1
933,1,1,1.620587434,0
934,1,1,0.4266819483,0
935,0,2,1.743366654,0
936,1,1,0.9226260182,0
937,0,2,1.158971644,0
938,0,2,1.081126425,0
939,0,2,1.138836011,0
940,1,1,0.9204947708,0
941,1,1,0.6588867274,0
942,0,2,0.9852221887,0
943,0,2,1.789547076,0
944,0,2,1.623783847,0
945,0,2,0.196277464,0
946,0,2,1.511395078,0
947,0,2,0.9148955438,0
948,0,2,1.130526326,0
949,0,2,0.3870638349,0
950,1,1,1.14746928,0
951,0,2,1.00861562,0
952,0,2,1.137153349,0
953,0,2,1.79084562,0
954,0,2,1.661762096,0
955,0,2,1.02955194,0
956,0,2,1.416290634,0
957,-1,0,2.597233789,1
958,0,2,0.8218434172,0
959,1,1,0.928232445,0
960,0,2,1.751444212,0
961,0,2,1.877094536,0
962,0,2,1.572319864,0
963,0,2,0.9509935032,0
964,0,2,1.16637797,0
965,0,2,1.326900814,0
966,0,2,1.753321239,0
967,0,2,1.78272875,0
